Latitude, Longitude
-99.3943595,16.8101142
-99.4060325,16.803541
-99.4135856,16.7982824
-99.4245719,16.7953243
-99.4348716,16.7920375
-99.4427681,16.7874358
-99.4472312,16.7788897
-99.4540977,16.7710006
-99.4558143,16.7654123
-99.4619941,16.7555501
-99.4623374,16.7493038
-99.4657707,16.740756
-99.4657707,16.7345092
-99.4657707,16.7295774
-99.4705772,16.723659
-99.4716072,16.7144524
-99.4698906,16.7095201
-99.4637107,16.6970243
-99.4599342,16.6907761
-99.4582176,16.6841988
-99.4534111,16.6822256
-99.4410514,16.6795946
-99.4280052,16.6776213
-99.4122123,16.6743324
-99.3998527,16.6730169
-99.3850898,16.669728
-99.3737602,16.6667679
-99.3607139,16.6638078
-99.3514442,16.6618344
-99.3428611,16.6608476
-99.3298149,16.6575585
-99.3202018,16.6592031
-99.3099021,16.6674257
-99.3020057,16.6707147
-99.2923927,16.6776213
-99.2882728,16.6874874
-99.2875862,16.6963666
-99.2862129,16.7059029
-99.2875862,16.7183981
-99.2951393,16.7249742
-99.3057823,16.7292486
-99.3181419,16.7312213
-99.3301582,16.734838
-99.3394279,16.7381258
-99.3456077,16.7440436
-99.3514442,16.7493038
-99.3583107,16.7621249
-99.357624,16.7683708
-99.356594,16.7746165
-99.3535041,16.7825054
-99.3507576,16.7920375
-99.3507576,16.8009117
-99.3579673,16.8101142
-99.3686103,16.8127434
-99.3816566,16.8143866
-99.3878364,16.8134007
-99.3943595,16.8101142
