Longitude, Latitude
-99.3932856,16.8083603
-99.3970621,16.8080317
-99.4018687,16.8070457
-99.4056452,16.8050737
-99.4094218,16.8037591
-99.4121683,16.7998151
-99.4149149,16.795871
-99.4180048,16.7932416
-99.4221247,16.7915982
-99.4279612,16.7906121
-99.434141,16.789626
-99.4386042,16.7883113
-99.4416941,16.7869965
-99.445814,16.7850244
-99.4495905,16.7830522
-99.4526804,16.7797652
-99.4561137,16.7761494
-99.4585169,16.7722048
-99.4619501,16.767274
-99.4640101,16.7620143
-99.46607,16.7570832
-99.4677866,16.752152
-99.4695032,16.7468919
-99.4705332,16.7406453
-99.4719065,16.7350561
-99.4732798,16.7294667
-99.4736231,16.7238772
-99.4743098,16.7189451
-99.4739664,16.7126976
-99.4722498,16.7067788
-99.4708765,16.7028327
-99.4695032,16.698229
-99.4677866,16.6936251
-99.46607,16.6890211
-99.4633234,16.6850747
-99.4605768,16.6811282
-99.4571436,16.679155
-99.4523371,16.6765239
-99.4471873,16.6752084
-99.4420374,16.6742218
-99.4365443,16.6742218
-99.4327677,16.6748795
-99.4293345,16.6758662
-99.4221247,16.6755373
-99.4162882,16.6745506
-99.4114817,16.673564
-99.4063319,16.6729062
-99.4004954,16.6722484
-99.3956888,16.6712617
-99.3898524,16.6699462
-99.3840159,16.6689595
-99.3795527,16.6676439
-99.3733729,16.6666572
-99.3678797,16.6659994
-99.3613566,16.6650127
-99.3551768,16.6636971
-99.3486536,16.6623815
-99.3424738,16.6613947
-99.3366373,16.6600791
-99.3301142,16.6587635
-99.324621,16.6594213
-99.3198145,16.660408
-99.3156946,16.6623815
-99.3122614,16.6646838
-99.3064249,16.6676439
-99.3036784,16.6715906
-99.3012751,16.6761951
-99.2985285,16.6807994
-99.2978419,16.6847458
-99.2968119,16.6903365
-99.2961252,16.6975713
-99.2974985,16.7021751
-99.3005884,16.7061211
-99.3047083,16.7097382
-99.3084849,16.7130264
-99.3122614,16.7166434
-99.3174113,16.7192739
-99.3222178,16.7212468
-99.3280543,16.7235484
-99.3328608,16.72585
-99.3369807,16.7284803
-99.3417872,16.7317682
-99.3465937,16.7347273
-99.3514002,16.7373575
-99.3551768,16.7413028
-99.3589533,16.7442618
-99.3637598,16.7472206
-99.3668497,16.7505082
-99.3685664,16.7554395
-99.370283,16.7600419
-99.370283,16.7653016
-99.370283,16.7715474
-99.369253,16.7764781
-99.3678797,16.7804226
-99.3661631,16.784367
-99.3647898,16.7889687
-99.3630732,16.7932416
-99.3616999,16.7985004
-99.3641032,16.8021158
-99.3671931,16.8050737
-99.3709696,16.8100036
-99.3754328,16.8126328
-99.380926,16.8136187
-99.3853892,16.8139474
-99.3908823,16.8106609

